Algorithm,Actual,Similarity
KL01CA2555,KL01CA2555,1.0
PGMN112,PGMN112,1.0
PRED,PRENUP,0.6
DZIZYXR,DZI7YXR,0.8571428571428571
PUI8,PUI8BES,0.7272727272727273
,,1.0
802.LIN,802.11N,0.7142857142857143
0,YSX213,0.0
6526JHD,G526JHD,0.8571428571428571
0,MH01AB8866,0.18181818181818182
0,TN37C52765,0.0
ORSIEK,WOR5I6K,0.6153846153846154
0,MH12BG7237,0.0
0u8p16,BJR216,0.3333333333333333
ALR486,ALR486,1.0
ML,TN21BY0166,0.0
,,1.0
,,1.0
Ms6Y0B,M66YOB,0.6666666666666666
AFR2011,AFR2011,1.0
,,1.0
LRO,1RQ,0.3333333333333333
MAMKAJ,YAMRAJ,0.6666666666666666
0,9214,0.0
HR26BC5514,HR26BC5514,1.0
BiHA1j6,BYHM136,0.5714285714285714
0,M17108,0.2857142857142857
DZIZYXR,DZI7YXR,0.8571428571428571
,,1.0
0,9214,0.0
5B412344,SBA1234A,0.625
0,YD63LB,0.0
CAWSD,MANISA,0.36363636363636365
0R654ND,OX65AWD,0.42857142857142855
@LZCN5617,DL7CN5617,0.7777777777777778
0,AK0188,0.2857142857142857
MIDLYPH,MIDLYPH,1.0
FAST,FAST,1.0
OHCBCKY,OMGBCKY,0.7142857142857143
HH15BD8817,MH15BD8877,0.8
0,M17108,0.2857142857142857
YNIZDEG,YNTZDBG,0.7142857142857143
BiHA1j6,BYHM136,0.5714285714285714
MH20B020,MH20BQ20,0.875
DLZCAG0786,DL2CAG0786,0.9
VNGROOT,IMGROOT,0.7142857142857143
MHiLGN9239,MH14GN9239,0.8
,,1.0
ALR486,ALR486,1.0
0,30461C,0.2857142857142857
PUI8,PUI8BES,0.7272727272727273
YESBOSS,YESBOSS,1.0
HH15BD8817,MH15BD8877,0.8
CHIOOSE,CHIOOSE,1.0
LTK378,LTM378,0.8333333333333334
0,9214,0.0
IND,KLBOSS,0.0
EXHL324,BKWL324,0.5714285714285714
MH01DB0001,MH01DB0001,1.0
0,MH46P1551,0.0
0SSHOLON,0S802-HN,0.5
0,MMN306,0.2857142857142857
HoTTUP,WATTUP,0.6666666666666666
0,BIGTEAM,0.0
TAXI,TAXI,1.0
ORINNZE,ORINNIE,0.8571428571428571
0,9214,0.0
MAOOBN7077,MH14BN7077,0.7
0u8p16,BJR216,0.3333333333333333
KWID,KWID,1.0
0,A15G,0.0
0,LN13GJ2,0.0
@LZCN5617,DL7CN5617,0.7777777777777778
TN99F2378,TN99F2378,1.0
CZI7KOD,CZ17KOD,0.8571428571428571
,,1.0
,MH31EA12SS,0.0
IR26CU6799,HR26CU6799,0.9
KL5442670,KL54A2670,0.8888888888888888
LGETQIL,4GETOIL,0.7142857142857143
BAD231,BAD231,1.0
0,ROY9,0.0
UI6ICLJEO,UP16TC1366,0.3157894736842105
